"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"32"	"hsa00010"	"2821"	"GPI"	"Glycolysis / Gluconeogenesis"
"33"	"hsa00010"	"3098"	"HK1"	"Glycolysis / Gluconeogenesis"
"34"	"hsa00010"	"3099"	"HK2"	"Glycolysis / Gluconeogenesis"
"35"	"hsa00010"	"3101"	"HK3"	"Glycolysis / Gluconeogenesis"
"36"	"hsa00010"	"387712"	"ENO4"	"Glycolysis / Gluconeogenesis"
"37"	"hsa00010"	"3939"	"LDHA"	"Glycolysis / Gluconeogenesis"
"38"	"hsa00010"	"3945"	"LDHB"	"Glycolysis / Gluconeogenesis"
"39"	"hsa00010"	"3948"	"LDHC"	"Glycolysis / Gluconeogenesis"
"40"	"hsa00010"	"441531"	"PGAM4"	"Glycolysis / Gluconeogenesis"
"41"	"hsa00010"	"501"	"ALDH7A1"	"Glycolysis / Gluconeogenesis"
"42"	"hsa00010"	"5105"	"PCK1"	"Glycolysis / Gluconeogenesis"
"43"	"hsa00010"	"5106"	"PCK2"	"Glycolysis / Gluconeogenesis"
"44"	"hsa00010"	"5160"	"PDHA1"	"Glycolysis / Gluconeogenesis"
"45"	"hsa00010"	"5161"	"PDHA2"	"Glycolysis / Gluconeogenesis"
"46"	"hsa00010"	"5162"	"PDHB"	"Glycolysis / Gluconeogenesis"
"47"	"hsa00010"	"5211"	"PFKL"	"Glycolysis / Gluconeogenesis"
"48"	"hsa00010"	"5213"	"PFKM"	"Glycolysis / Gluconeogenesis"
"49"	"hsa00010"	"5214"	"PFKP"	"Glycolysis / Gluconeogenesis"
"50"	"hsa00010"	"5223"	"PGAM1"	"Glycolysis / Gluconeogenesis"
"51"	"hsa00010"	"5224"	"PGAM2"	"Glycolysis / Gluconeogenesis"
"52"	"hsa00010"	"5230"	"PGK1"	"Glycolysis / Gluconeogenesis"
"53"	"hsa00010"	"5232"	"PGK2"	"Glycolysis / Gluconeogenesis"
"54"	"hsa00010"	"5236"	"PGM1"	"Glycolysis / Gluconeogenesis"
"55"	"hsa00010"	"5313"	"PKLR"	"Glycolysis / Gluconeogenesis"
"56"	"hsa00010"	"5315"	"PKM"	"Glycolysis / Gluconeogenesis"
"57"	"hsa00010"	"55276"	"PGM2"	"Glycolysis / Gluconeogenesis"
"58"	"hsa00010"	"55902"	"ACSS2"	"Glycolysis / Gluconeogenesis"
"59"	"hsa00010"	"57818"	"G6PC2"	"Glycolysis / Gluconeogenesis"
"60"	"hsa00010"	"669"	"BPGM"	"Glycolysis / Gluconeogenesis"
"61"	"hsa00010"	"7167"	"TPI1"	"Glycolysis / Gluconeogenesis"
"62"	"hsa00010"	"80201"	"HKDC1"	"Glycolysis / Gluconeogenesis"
"63"	"hsa00010"	"83440"	"ADPGK"	"Glycolysis / Gluconeogenesis"
"64"	"hsa00010"	"84532"	"ACSS1"	"Glycolysis / Gluconeogenesis"
"65"	"hsa00010"	"8789"	"FBP2"	"Glycolysis / Gluconeogenesis"
"66"	"hsa00010"	"92483"	"LDHAL6B"	"Glycolysis / Gluconeogenesis"
"67"	"hsa00010"	"92579"	"G6PC3"	"Glycolysis / Gluconeogenesis"
"68"	"hsa00010"	"9562"	"MINPP1"	"Glycolysis / Gluconeogenesis"
"69"	"hsa00020"	"1431"	"CS"	"Citrate cycle (TCA cycle)"
"70"	"hsa00020"	"1737"	"DLAT"	"Citrate cycle (TCA cycle)"
"71"	"hsa00020"	"1738"	"DLD"	"Citrate cycle (TCA cycle)"
"72"	"hsa00020"	"1743"	"DLST"	"Citrate cycle (TCA cycle)"
"73"	"hsa00020"	"2271"	"FH"	"Citrate cycle (TCA cycle)"
"74"	"hsa00020"	"3417"	"IDH1"	"Citrate cycle (TCA cycle)"
"75"	"hsa00020"	"3418"	"IDH2"	"Citrate cycle (TCA cycle)"
"76"	"hsa00020"	"3419"	"IDH3A"	"Citrate cycle (TCA cycle)"
"77"	"hsa00020"	"3420"	"IDH3B"	"Citrate cycle (TCA cycle)"
"78"	"hsa00020"	"3421"	"IDH3G"	"Citrate cycle (TCA cycle)"
"79"	"hsa00020"	"4190"	"MDH1"	"Citrate cycle (TCA cycle)"
"80"	"hsa00020"	"4191"	"MDH2"	"Citrate cycle (TCA cycle)"
"81"	"hsa00020"	"47"	"ACLY"	"Citrate cycle (TCA cycle)"
"82"	"hsa00020"	"48"	"ACO1"	"Citrate cycle (TCA cycle)"
"83"	"hsa00020"	"4967"	"OGDH"	"Citrate cycle (TCA cycle)"
"84"	"hsa00020"	"50"	"ACO2"	"Citrate cycle (TCA cycle)"
"85"	"hsa00020"	"5091"	"PC"	"Citrate cycle (TCA cycle)"
"86"	"hsa00020"	"5105"	"PCK1"	"Citrate cycle (TCA cycle)"
"87"	"hsa00020"	"5106"	"PCK2"	"Citrate cycle (TCA cycle)"
"88"	"hsa00020"	"5160"	"PDHA1"	"Citrate cycle (TCA cycle)"
"89"	"hsa00020"	"5161"	"PDHA2"	"Citrate cycle (TCA cycle)"
"90"	"hsa00020"	"5162"	"PDHB"	"Citrate cycle (TCA cycle)"
"91"	"hsa00020"	"55753"	"OGDHL"	"Citrate cycle (TCA cycle)"
"92"	"hsa00020"	"6389"	"SDHA"	"Citrate cycle (TCA cycle)"
"93"	"hsa00020"	"6390"	"SDHB"	"Citrate cycle (TCA cycle)"
"94"	"hsa00020"	"6391"	"SDHC"	"Citrate cycle (TCA cycle)"
"95"	"hsa00020"	"6392"	"SDHD"	"Citrate cycle (TCA cycle)"
"96"	"hsa00020"	"8801"	"SUCLG2"	"Citrate cycle (TCA cycle)"
"97"	"hsa00020"	"8802"	"SUCLG1"	"Citrate cycle (TCA cycle)"
"98"	"hsa00020"	"8803"	"SUCLA2"	"Citrate cycle (TCA cycle)"
"99"	"hsa00030"	"132158"	"GLYCTK"	"Pentose phosphate pathway"
"100"	"hsa00030"	"2203"	"FBP1"	"Pentose phosphate pathway"
"101"	"hsa00030"	"221823"	"PRPS1L1"	"Pentose phosphate pathway"
"102"	"hsa00030"	"226"	"ALDOA"	"Pentose phosphate pathway"
"103"	"hsa00030"	"229"	"ALDOB"	"Pentose phosphate pathway"
"104"	"hsa00030"	"22934"	"RPIA"	"Pentose phosphate pathway"
"105"	"hsa00030"	"230"	"ALDOC"	"Pentose phosphate pathway"
"106"	"hsa00030"	"2539"	"G6PD"	"Pentose phosphate pathway"
"107"	"hsa00030"	"25796"	"PGLS"	"Pentose phosphate pathway"
"108"	"hsa00030"	"2821"	"GPI"	"Pentose phosphate pathway"
"109"	"hsa00030"	"414328"	"IDNK"	"Pentose phosphate pathway"
"110"	"hsa00030"	"51071"	"DERA"	"Pentose phosphate pathway"
"111"	"hsa00030"	"5211"	"PFKL"	"Pentose phosphate pathway"
"112"	"hsa00030"	"5213"	"PFKM"	"Pentose phosphate pathway"
"113"	"hsa00030"	"5214"	"PFKP"	"Pentose phosphate pathway"
"114"	"hsa00030"	"5226"	"PGD"	"Pentose phosphate pathway"
"115"	"hsa00030"	"5236"	"PGM1"	"Pentose phosphate pathway"
"116"	"hsa00030"	"55276"	"PGM2"	"Pentose phosphate pathway"
"117"	"hsa00030"	"5631"	"PRPS1"	"Pentose phosphate pathway"
"118"	"hsa00030"	"5634"	"PRPS2"	"Pentose phosphate pathway"
"119"	"hsa00030"	"6120"	"RPE"	"Pentose phosphate pathway"
"120"	"hsa00030"	"64080"	"RBKS"	"Pentose phosphate pathway"
"121"	"hsa00030"	"6888"	"TALDO1"	"Pentose phosphate pathway"
"122"	"hsa00030"	"7086"	"TKT"	"Pentose phosphate pathway"
"123"	"hsa00030"	"729020"	"RPEL1"	"Pentose phosphate pathway"
"124"	"hsa00030"	"8277"	"TKTL1"	"Pentose phosphate pathway"
"125"	"hsa00030"	"84076"	"TKTL2"	"Pentose phosphate pathway"
"126"	"hsa00030"	"8789"	"FBP2"	"Pentose phosphate pathway"
"127"	"hsa00030"	"9104"	"RGN"	"Pentose phosphate pathway"
"128"	"hsa00030"	"9563"	"H6PD"	"Pentose phosphate pathway"
"129"	"hsa00040"	"10327"	"AKR1A1"	"Pentose and glucuronate interconversions"
"130"	"hsa00040"	"10720"	"UGT2B11"	"Pentose and glucuronate interconversions"
"131"	"hsa00040"	"10941"	"UGT2A1"	"Pentose and glucuronate interconversions"
"132"	"hsa00040"	"231"	"AKR1B1"	"Pentose and glucuronate interconversions"
"133"	"hsa00040"	"27294"	"DHDH"	"Pentose and glucuronate interconversions"
"134"	"hsa00040"	"2990"	"GUSB"	"Pentose and glucuronate interconversions"
"135"	"hsa00040"	"51084"	"CRYL1"	"Pentose and glucuronate interconversions"
"136"	"hsa00040"	"51181"	"DCXR"	"Pentose and glucuronate interconversions"
"137"	"hsa00040"	"54490"	"UGT2B28"	"Pentose and glucuronate interconversions"
"138"	"hsa00040"	"54575"	"UGT1A10"	"Pentose and glucuronate interconversions"
"139"	"hsa00040"	"54576"	"UGT1A8"	"Pentose and glucuronate interconversions"
"140"	"hsa00040"	"54577"	"UGT1A7"	"Pentose and glucuronate interconversions"
"141"	"hsa00040"	"54578"	"UGT1A6"	"Pentose and glucuronate interconversions"
"142"	"hsa00040"	"54579"	"UGT1A5"	"Pentose and glucuronate interconversions"
"143"	"hsa00040"	"54600"	"UGT1A9"	"Pentose and glucuronate interconversions"
"144"	"hsa00040"	"54657"	"UGT1A4"	"Pentose and glucuronate interconversions"
"145"	"hsa00040"	"54658"	"UGT1A1"	"Pentose and glucuronate interconversions"
"146"	"hsa00040"	"54659"	"UGT1A3"	"Pentose and glucuronate interconversions"
"147"	"hsa00040"	"57016"	"AKR1B10"	"Pentose and glucuronate interconversions"
"148"	"hsa00040"	"574537"	"UGT2A2"	"Pentose and glucuronate interconversions"
"149"	"hsa00040"	"6120"	"RPE"	"Pentose and glucuronate interconversions"
"150"	"hsa00040"	"6652"	"SORD"	"Pentose and glucuronate interconversions"
"151"	"hsa00040"	"729020"	"RPEL1"	"Pentose and glucuronate interconversions"
"152"	"hsa00040"	"729920"	"ISPD"	"Pentose and glucuronate interconversions"
"153"	"hsa00040"	"7358"	"UGDH"	"Pentose and glucuronate interconversions"
"154"	"hsa00040"	"7360"	"UGP2"	"Pentose and glucuronate interconversions"
"155"	"hsa00040"	"7363"	"UGT2B4"	"Pentose and glucuronate interconversions"
"156"	"hsa00040"	"7364"	"UGT2B7"	"Pentose and glucuronate interconversions"
"157"	"hsa00040"	"7365"	"UGT2B10"	"Pentose and glucuronate interconversions"
"158"	"hsa00040"	"7366"	"UGT2B15"	"Pentose and glucuronate interconversions"
"159"	"hsa00040"	"7367"	"UGT2B17"	"Pentose and glucuronate interconversions"
"160"	"hsa00040"	"79799"	"UGT2A3"	"Pentose and glucuronate interconversions"
"161"	"hsa00040"	"9365"	"KL"	"Pentose and glucuronate interconversions"
"162"	"hsa00040"	"9942"	"XYLB"	"Pentose and glucuronate interconversions"
"163"	"hsa00051"	"197258"	"FUK"	"Fructose and mannose metabolism"
"164"	"hsa00051"	"2203"	"FBP1"	"Fructose and mannose metabolism"
"165"	"hsa00051"	"226"	"ALDOA"	"Fructose and mannose metabolism"
"166"	"hsa00051"	"229"	"ALDOB"	"Fructose and mannose metabolism"
"167"	"hsa00051"	"230"	"ALDOC"	"Fructose and mannose metabolism"
"168"	"hsa00051"	"231"	"AKR1B1"	"Fructose and mannose metabolism"
"169"	"hsa00051"	"26007"	"TKFC"	"Fructose and mannose metabolism"
"170"	"hsa00051"	"2762"	"GMDS"	"Fructose and mannose metabolism"
"171"	"hsa00051"	"29925"	"GMPPB"	"Fructose and mannose metabolism"
"172"	"hsa00051"	"29926"	"GMPPA"	"Fructose and mannose metabolism"
"173"	"hsa00051"	"3098"	"HK1"	"Fructose and mannose metabolism"
"174"	"hsa00051"	"3099"	"HK2"	"Fructose and mannose metabolism"
"175"	"hsa00051"	"3101"	"HK3"	"Fructose and mannose metabolism"
"176"	"hsa00051"	"3795"	"KHK"	"Fructose and mannose metabolism"
"177"	"hsa00051"	"4351"	"MPI"	"Fructose and mannose metabolism"
"178"	"hsa00051"	"5207"	"PFKFB1"	"Fructose and mannose metabolism"
"179"	"hsa00051"	"5208"	"PFKFB2"	"Fructose and mannose metabolism"
"180"	"hsa00051"	"5209"	"PFKFB3"	"Fructose and mannose metabolism"
"181"	"hsa00051"	"5210"	"PFKFB4"	"Fructose and mannose metabolism"
"182"	"hsa00051"	"5211"	"PFKL"	"Fructose and mannose metabolism"
"183"	"hsa00051"	"5213"	"PFKM"	"Fructose and mannose metabolism"
"184"	"hsa00051"	"5214"	"PFKP"	"Fructose and mannose metabolism"
"185"	"hsa00051"	"5372"	"PMM1"	"Fructose and mannose metabolism"
"186"	"hsa00051"	"5373"	"PMM2"	"Fructose and mannose metabolism"
"187"	"hsa00051"	"55556"	"ENOSF1"	"Fructose and mannose metabolism"
"188"	"hsa00051"	"57016"	"AKR1B10"	"Fructose and mannose metabolism"
"189"	"hsa00051"	"57103"	"TIGAR"	"Fructose and mannose metabolism"
"190"	"hsa00051"	"6652"	"SORD"	"Fructose and mannose metabolism"
"191"	"hsa00051"	"7167"	"TPI1"	"Fructose and mannose metabolism"
"192"	"hsa00051"	"7264"	"TSTA3"	"Fructose and mannose metabolism"
"193"	"hsa00051"	"80201"	"HKDC1"	"Fructose and mannose metabolism"
"194"	"hsa00051"	"8789"	"FBP2"	"Fructose and mannose metabolism"
"195"	"hsa00051"	"8790"	"FPGT"	"Fructose and mannose metabolism"
"196"	"hsa00052"	"130589"	"GALM"	"Galactose metabolism"
"197"	"hsa00052"	"231"	"AKR1B1"	"Galactose metabolism"
"198"	"hsa00052"	"2538"	"G6PC"	"Galactose metabolism"
"199"	"hsa00052"	"2548"	"GAA"	"Galactose metabolism"
"200"	"hsa00052"	"2582"	"GALE"	"Galactose metabolism"
"201"	"hsa00052"	"2584"	"GALK1"	"Galactose metabolism"
"202"	"hsa00052"	"2592"	"GALT"	"Galactose metabolism"
"203"	"hsa00052"	"2595"	"GANC"	"Galactose metabolism"
"204"	"hsa00052"	"2645"	"GCK"	"Galactose metabolism"
"205"	"hsa00052"	"2683"	"B4GALT1"	"Galactose metabolism"
"206"	"hsa00052"	"2717"	"GLA"	"Galactose metabolism"
"207"	"hsa00052"	"2720"	"GLB1"	"Galactose metabolism"
"208"	"hsa00052"	"3098"	"HK1"	"Galactose metabolism"
"209"	"hsa00052"	"3099"	"HK2"	"Galactose metabolism"
"210"	"hsa00052"	"3101"	"HK3"	"Galactose metabolism"
"211"	"hsa00052"	"3906"	"LALBA"	"Galactose metabolism"
"212"	"hsa00052"	"3938"	"LCT"	"Galactose metabolism"
"213"	"hsa00052"	"5211"	"PFKL"	"Galactose metabolism"
"214"	"hsa00052"	"5213"	"PFKM"	"Galactose metabolism"
"215"	"hsa00052"	"5214"	"PFKP"	"Galactose metabolism"
"216"	"hsa00052"	"5236"	"PGM1"	"Galactose metabolism"
"217"	"hsa00052"	"55276"	"PGM2"	"Galactose metabolism"
"218"	"hsa00052"	"57016"	"AKR1B10"	"Galactose metabolism"
"219"	"hsa00052"	"57818"	"G6PC2"	"Galactose metabolism"
"220"	"hsa00052"	"6476"	"SI"	"Galactose metabolism"
"221"	"hsa00052"	"7360"	"UGP2"	"Galactose metabolism"
"222"	"hsa00052"	"80201"	"HKDC1"	"Galactose metabolism"
"223"	"hsa00052"	"8704"	"B4GALT2"	"Galactose metabolism"
"224"	"hsa00052"	"8972"	"MGAM"	"Galactose metabolism"
"225"	"hsa00052"	"92579"	"G6PC3"	"Galactose metabolism"
"226"	"hsa00052"	"93432"	"MGAM2"	"Galactose metabolism"
"227"	"hsa00053"	"10720"	"UGT2B11"	"Ascorbate and aldarate metabolism"
"228"	"hsa00053"	"10941"	"UGT2A1"	"Ascorbate and aldarate metabolism"
"229"	"hsa00053"	"217"	"ALDH2"	"Ascorbate and aldarate metabolism"
"230"	"hsa00053"	"219"	"ALDH1B1"	"Ascorbate and aldarate metabolism"
"231"	"hsa00053"	"223"	"ALDH9A1"	"Ascorbate and aldarate metabolism"
"232"	"hsa00053"	"224"	"ALDH3A2"	"Ascorbate and aldarate metabolism"
"233"	"hsa00053"	"501"	"ALDH7A1"	"Ascorbate and aldarate metabolism"
"234"	"hsa00053"	"54490"	"UGT2B28"	"Ascorbate and aldarate metabolism"
"235"	"hsa00053"	"54575"	"UGT1A10"	"Ascorbate and aldarate metabolism"
"236"	"hsa00053"	"54576"	"UGT1A8"	"Ascorbate and aldarate metabolism"
"237"	"hsa00053"	"54577"	"UGT1A7"	"Ascorbate and aldarate metabolism"
"238"	"hsa00053"	"54578"	"UGT1A6"	"Ascorbate and aldarate metabolism"
"239"	"hsa00053"	"54579"	"UGT1A5"	"Ascorbate and aldarate metabolism"
"240"	"hsa00053"	"54600"	"UGT1A9"	"Ascorbate and aldarate metabolism"
"241"	"hsa00053"	"54657"	"UGT1A4"	"Ascorbate and aldarate metabolism"
"242"	"hsa00053"	"54658"	"UGT1A1"	"Ascorbate and aldarate metabolism"
"243"	"hsa00053"	"54659"	"UGT1A3"	"Ascorbate and aldarate metabolism"
"244"	"hsa00053"	"55586"	"MIOX"	"Ascorbate and aldarate metabolism"
"245"	"hsa00053"	"574537"	"UGT2A2"	"Ascorbate and aldarate metabolism"
"246"	"hsa00053"	"7358"	"UGDH"	"Ascorbate and aldarate metabolism"
"247"	"hsa00053"	"7363"	"UGT2B4"	"Ascorbate and aldarate metabolism"
"248"	"hsa00053"	"7364"	"UGT2B7"	"Ascorbate and aldarate metabolism"
"249"	"hsa00053"	"7365"	"UGT2B10"	"Ascorbate and aldarate metabolism"
"250"	"hsa00053"	"7366"	"UGT2B15"	"Ascorbate and aldarate metabolism"
"251"	"hsa00053"	"7367"	"UGT2B17"	"Ascorbate and aldarate metabolism"
"252"	"hsa00053"	"79799"	"UGT2A3"	"Ascorbate and aldarate metabolism"
"253"	"hsa00053"	"9104"	"RGN"	"Ascorbate and aldarate metabolism"
"254"	"hsa00061"	"2180"	"ACSL1"	"Fatty acid biosynthesis"
"255"	"hsa00061"	"2181"	"ACSL3"	"Fatty acid biosynthesis"
"256"	"hsa00061"	"2182"	"ACSL4"	"Fatty acid biosynthesis"
"257"	"hsa00061"	"2194"	"FASN"	"Fatty acid biosynthesis"
"258"	"hsa00061"	"23205"	"ACSBG1"	"Fatty acid biosynthesis"
"259"	"hsa00061"	"23305"	"ACSL6"	"Fatty acid biosynthesis"
"260"	"hsa00061"	"27349"	"MCAT"	"Fatty acid biosynthesis"
"261"	"hsa00061"	"31"	"ACACA"	"Fatty acid biosynthesis"
"262"	"hsa00061"	"32"	"ACACB"	"Fatty acid biosynthesis"
"263"	"hsa00061"	"51703"	"ACSL5"	"Fatty acid biosynthesis"
"264"	"hsa00061"	"54995"	"OXSM"	"Fatty acid biosynthesis"
"265"	"hsa00061"	"55301"	"OLAH"	"Fatty acid biosynthesis"
"266"	"hsa00061"	"81616"	"ACSBG2"	"Fatty acid biosynthesis"
"267"	"hsa00062"	"10449"	"ACAA2"	"Fatty acid elongation"
"268"	"hsa00062"	"10965"	"ACOT2"	"Fatty acid elongation"
"269"	"hsa00062"	"11332"	"ACOT7"	"Fatty acid elongation"
"270"	"hsa00062"	"117145"	"THEM4"	"Fatty acid elongation"
"271"	"hsa00062"	"122970"	"ACOT4"	"Fatty acid elongation"
"272"	"hsa00062"	"1892"	"ECHS1"	"Fatty acid elongation"
"273"	"hsa00062"	"201562"	"HACD2"	"Fatty acid elongation"
"274"	"hsa00062"	"284486"	"THEM5"	"Fatty acid elongation"
"275"	"hsa00062"	"3030"	"HADHA"	"Fatty acid elongation"
"276"	"hsa00062"	"3032"	"HADHB"	"Fatty acid elongation"
"277"	"hsa00062"	"3033"	"HADH"	"Fatty acid elongation"
"278"	"hsa00062"	"401494"	"HACD4"	"Fatty acid elongation"
"279"	"hsa00062"	"51102"	"MECR"	"Fatty acid elongation"
"280"	"hsa00062"	"51104"	"ABHD17B"	"Fatty acid elongation"
"281"	"hsa00062"	"51144"	"HSD17B12"	"Fatty acid elongation"
"282"	"hsa00062"	"51495"	"HACD3"	"Fatty acid elongation"
"283"	"hsa00062"	"54898"	"ELOVL2"	"Fatty acid elongation"
"284"	"hsa00062"	"5538"	"PPT1"	"Fatty acid elongation"
"285"	"hsa00062"	"58489"	"ABHD17C"	"Fatty acid elongation"
"286"	"hsa00062"	"60481"	"ELOVL5"	"Fatty acid elongation"
"287"	"hsa00062"	"641371"	"ACOT1"	"Fatty acid elongation"
"288"	"hsa00062"	"64834"	"ELOVL1"	"Fatty acid elongation"
"289"	"hsa00062"	"6785"	"ELOVL4"	"Fatty acid elongation"
"290"	"hsa00062"	"79071"	"ELOVL6"	"Fatty acid elongation"
"291"	"hsa00062"	"79993"	"ELOVL7"	"Fatty acid elongation"
"292"	"hsa00062"	"81926"	"ABHD17A"	"Fatty acid elongation"
"293"	"hsa00062"	"83401"	"ELOVL3"	"Fatty acid elongation"
"294"	"hsa00062"	"9200"	"HACD1"	"Fatty acid elongation"
"295"	"hsa00062"	"9374"	"PPT2"	"Fatty acid elongation"
"296"	"hsa00062"	"9524"	"TECR"	"Fatty acid elongation"
"297"	"hsa00071"	"10449"	"ACAA2"	"Fatty acid degradation"
"298"	"hsa00071"	"10455"	"ECI2"	"Fatty acid degradation"
"299"	"hsa00071"	"124"	"ADH1A"	"Fatty acid degradation"
"300"	"hsa00071"	"125"	"ADH1B"	"Fatty acid degradation"
"301"	"hsa00071"	"126"	"ADH1C"	"Fatty acid degradation"
"302"	"hsa00071"	"126129"	"CPT1C"	"Fatty acid degradation"
"303"	"hsa00071"	"127"	"ADH4"	"Fatty acid degradation"
"304"	"hsa00071"	"128"	"ADH5"	"Fatty acid degradation"
"305"	"hsa00071"	"130"	"ADH6"	"Fatty acid degradation"
"306"	"hsa00071"	"131"	"ADH7"	"Fatty acid degradation"
"307"	"hsa00071"	"1374"	"CPT1A"	"Fatty acid degradation"
"308"	"hsa00071"	"1375"	"CPT1B"	"Fatty acid degradation"
"309"	"hsa00071"	"1376"	"CPT2"	"Fatty acid degradation"
"310"	"hsa00071"	"1579"	"CYP4A11"	"Fatty acid degradation"
"311"	"hsa00071"	"1632"	"ECI1"	"Fatty acid degradation"
"312"	"hsa00071"	"1892"	"ECHS1"	"Fatty acid degradation"
"313"	"hsa00071"	"1962"	"EHHADH"	"Fatty acid degradation"
"314"	"hsa00071"	"217"	"ALDH2"	"Fatty acid degradation"
"315"	"hsa00071"	"2180"	"ACSL1"	"Fatty acid degradation"
"316"	"hsa00071"	"2181"	"ACSL3"	"Fatty acid degradation"
"317"	"hsa00071"	"2182"	"ACSL4"	"Fatty acid degradation"
"318"	"hsa00071"	"219"	"ALDH1B1"	"Fatty acid degradation"
"319"	"hsa00071"	"223"	"ALDH9A1"	"Fatty acid degradation"
"320"	"hsa00071"	"224"	"ALDH3A2"	"Fatty acid degradation"
"321"	"hsa00071"	"23205"	"ACSBG1"	"Fatty acid degradation"
"322"	"hsa00071"	"23305"	"ACSL6"	"Fatty acid degradation"
"323"	"hsa00071"	"2639"	"GCDH"	"Fatty acid degradation"
"324"	"hsa00071"	"284541"	"CYP4A22"	"Fatty acid degradation"
"325"	"hsa00071"	"30"	"ACAA1"	"Fatty acid degradation"
"326"	"hsa00071"	"3030"	"HADHA"	"Fatty acid degradation"
"327"	"hsa00071"	"3032"	"HADHB"	"Fatty acid degradation"
"328"	"hsa00071"	"3033"	"HADH"	"Fatty acid degradation"
"329"	"hsa00071"	"33"	"ACADL"	"Fatty acid degradation"
"330"	"hsa00071"	"34"	"ACADM"	"Fatty acid degradation"
"331"	"hsa00071"	"35"	"ACADS"	"Fatty acid degradation"
"332"	"hsa00071"	"36"	"ACADSB"	"Fatty acid degradation"
"333"	"hsa00071"	"37"	"ACADVL"	"Fatty acid degradation"
"334"	"hsa00071"	"38"	"ACAT1"	"Fatty acid degradation"
"335"	"hsa00071"	"39"	"ACAT2"	"Fatty acid degradation"
"336"	"hsa00071"	"501"	"ALDH7A1"	"Fatty acid degradation"
"337"	"hsa00071"	"51"	"ACOX1"	"Fatty acid degradation"
"338"	"hsa00071"	"51703"	"ACSL5"	"Fatty acid degradation"
"339"	"hsa00071"	"81616"	"ACSBG2"	"Fatty acid degradation"
"340"	"hsa00071"	"8310"	"ACOX3"	"Fatty acid degradation"
"341"	"hsa00072"	"3155"	"HMGCL"	"Synthesis and degradation of ketone bodies"
"342"	"hsa00072"	"3157"	"HMGCS1"	"Synthesis and degradation of ketone bodies"
"343"	"hsa00072"	"3158"	"HMGCS2"	"Synthesis and degradation of ketone bodies"
"344"	"hsa00072"	"38"	"ACAT1"	"Synthesis and degradation of ketone bodies"
"345"	"hsa00072"	"39"	"ACAT2"	"Synthesis and degradation of ketone bodies"
"346"	"hsa00072"	"5019"	"OXCT1"	"Synthesis and degradation of ketone bodies"
"347"	"hsa00072"	"54511"	"HMGCLL1"	"Synthesis and degradation of ketone bodies"
"348"	"hsa00072"	"56898"	"BDH2"	"Synthesis and degradation of ketone bodies"
